name,address,zipcode,city
La Perle,78 rue vieille du temple,75003,Paris
Le Descartes,1 rue Thouin,75005,Paris
Le petit club,55 rue de la tombe Issoire,75014,Paris
Le Plein soleil,90 avenue Parmentier,75011,Paris
Le Relais Haussmann,"146, boulevard Haussmann",75008,Paris
Le Malar,88 rue Saint-Dominique,75007,Paris
Au panini de la place,47 rue Belgrand,75020,Paris
Le Village,182 rue de Courcelles,75017,Paris
Pause Café,41 rue de Charonne,75011,Paris
Le Pure café,14 rue Jean Macé,75011,Paris
Extra old café,307 fg saint Antoine,75011,Paris
Chez Fafa,44 rue Vinaigriers,75010,Paris
En attendant l'or,3 rue Faidherbe,75011,Paris
Brûlerie San José,30 rue des Petits-Champs,75002,Paris
Café Martin,2 place Martin Nadaud,75001,Paris
Etienne,"14 rue Turbigo, Paris",75001,Paris
L'ingénu,184 bd Voltaire,75011,Paris
L'Olive,8 rue L'Olive,75018,Paris
Le Biz,18 rue Favart,75002,Paris
Le Cap Bourbon,1 rue Louis le Grand,75002,Paris
Le General Beuret,9 Place du General Beuret,75015,Paris
Le Germinal,95 avenue Emile Zola,75015,Paris
Le Ragueneau,202 rue Saint-Honoré,75001,Paris
Le refuge,72 rue lamarck,75018,Paris
Le sully,13 rue du Faubourg Saint Denis,75010,Paris
L'antre d'eux,16 rue DE MEZIERES,75006,Paris
Drole d'endroit pour une rencontre,58 rue de Montorgueil,75002,Paris
Le pari's café,104 rue caulaincourt,75018,Paris
Le Poulailler,60 rue saint-sabin,75011,Paris
Chai 33,33 Cour Saint Emilion,75012,Paris
L'Assassin,99 rue Jean-Pierre Timbaud,75011,Paris
l'Usine,1 rue d'Avron,75020,Paris
La Bricole,52 rue Liebniz,75018,Paris
le ronsard,place maubert,75005,Paris
Face Bar,82 rue des archives,75003,Paris
American Kitchen,49 rue bichat,75010,Paris
La Marine,55 bis quai de valmy,75010,Paris
Le Bloc,21 avenue Brochant,75017,Paris
La Recoleta au Manoir,229 avenue Gambetta,75020,Paris
Le Pareloup,80 Rue Saint-Charles,75015,Paris
La Brasserie Gaité,3 rue de la Gaité,75014,Paris
Café Zen,46 rue Victoire,75009,Paris
O'Breizh,27 rue de Penthièvre,75008,Paris
Le Petit Choiseul,23 rue saint augustin,75002,Paris
Invitez vous chez nous,7 rue Epée de Bois,75005,Paris
La Cordonnerie,142 Rue Saint-Denis 75002 Paris,75002,Paris
Le bal du pirate,60 rue des bergers,75015,Paris
zic zinc,95 rue claude decaen,75012,Paris
l'orillon bar,35 rue de l'orillon,75011,Paris
Le Zazabar,116 Rue de Ménilmontant,75020,Paris
L'Inévitable,22 rue Linné,75005,Paris
Le Dunois,77 rue Dunois,75013,Paris
Ragueneau,202 rue Saint Honoré,75001,Paris
Le Caminito,48 rue du Dessous des Berges,75013,Paris
Epicerie Musicale,55bis quai de Valmy,75010,Paris
Le petit Bretonneau,Le petit Bretonneau - à l'intérieur de l'Hôpital,75018,Paris
Le Centenaire,104 rue amelot,75011,Paris
La Montagne Sans Geneviève,13 Rue du Pot de Fer,75005,Paris
Les Pères Populaires,46 rue de Buzenval,75020,Paris
Cafe de grenelle,188 rue de Grenelle,75007,Paris
Le relais de la victoire,73 rue de la Victoire,75009,Paris
La chaumière gourmande,"Route de la Muette à Neuilly
Club hippique du Jardin d’Acclimatation",75016,Paris
Le Brio,"216, rue Marcadet",75018,Paris
Caves populaires,22 rue des Dames,75017,Paris
Caprice café,12 avenue Jean Moulin,75014,Paris
Tamm Bara,7 rue Clisson,75013,Paris
L'anjou,1 rue de Montholon,75009,Paris
Café dans l'aerogare Air France Invalides,2 rue Robert Esnault Pelterie,75007,Paris
Waikiki,"10 rue d""Ulm",75005,Paris
Chez Prune,36 rue Beaurepaire,75010,Paris
Au Vin Des Rues,21 rue Boulard,75014,Paris
bistrot les timbrés,14 rue d'alleray,75015,Paris
Café beauveau,9 rue de Miromesnil,75008,Paris
Café Pistache,9 rue des petits champs,75001,Paris
La Cagnotte,13 Rue Jean-Baptiste Dumay,75020,Paris
le 1 cinq,172 rue de vaugirard,75015,Paris
Le Killy Jen,28 bis boulevard Diderot,75012,Paris
Les Artisans,106 rue Lecourbe,75015,Paris
Peperoni,83 avenue de Wagram,75001,Paris
le lutece,380 rue de vaugirard,75015,Paris
Brasiloja,16 rue Ganneron,75018,Paris
Rivolux,16 rue de Rivoli,75004,Paris
L'européen,21 Bis Boulevard Diderot,75012,Paris
NoMa,39 rue Notre Dame de Nazareth,75003,Paris
O'Paris,1 Rue des Envierges,75020,Paris
Café Clochette,16 avenue Richerand,75010,Paris
La cantoche de Paname,40 Boulevard Beaumarchais,75011,Paris
Le Saint René,148 Boulevard de Charonne,75020,Paris
La Liberté,196 rue du faubourg saint-antoine,75012,Paris
Chez Rutabaga,16 rue des Petits Champs,75002,Paris
Le BB (Bouchon des Batignolles),2 rue Lemercier,75017,Paris
La Brocante,10 rue Rossini,75009,Paris
Le Plomb du cantal,3 rue Gaîté,75014,Paris
Les caves populaires,22 rue des Dames,75017,Paris
Chez Luna,108 rue de Ménilmontant,75020,Paris
Le bar Fleuri,1 rue du Plateau,75019,Paris
Trois pièces cuisine,101 rue des dames,75017,Paris
Le Zinc,61 avenue de la Motte Picquet,75015,Paris
La cantine de Zoé,136 rue du Faubourg poissonnière,75010,Paris
Les Vendangeurs,6/8 rue Stanislas,75006,Paris
L'avant comptoir,3 carrefour de l'Odéon,75006,Paris
Botak cafe,1 rue Paul albert,75018,Paris
le chateau d'eau,67 rue du Château d'eau,75010,Paris
Bistrot Saint-Antoine,58 rue du Fbg Saint-Antoine,75012,Paris
Chez Oscar,11/13 boulevard Beaumarchais,75004,Paris
Le Fronton,63 rue de Ponthieu,75008,Paris
Le Piquet,48 avenue de la Motte Picquet,75015,Paris
Le Tournebride,104 rue Mouffetard,75005,Paris
maison du vin,52 rue des plantes,75014,Paris
L'entrepôt,157 rue Bercy 75012 Paris,75012,Paris
Le café Monde et Médias,Place de la République,75003,Paris
Café rallye tournelles,11 Quai de la Tournelle,75005,Paris
Brasserie le Morvan,61 rue du château d'eau,75010,Paris
Chez Miamophile,6 rue Mélingue,75019,Paris
Panem,18 rue de Crussol,75011,Paris
Petits Freres des Pauvres,47 rue de Batignolles,75017,Paris
Café Dupont,198 rue de la Convention,75015,Paris
L'Angle,28 rue de Ponthieu,75008,Paris
Institut des Cultures d'Islam,19-23 rue Léon,75018,Paris
Canopy Café associatif,19 rue Pajol,75018,Paris
L'Entracte,place de l'opera,75002,Paris
Le Sévigné,15 rue du Parc Royal,75003,Paris
Le Café d'avant,35 rue Claude Bernard,75005,Paris
Le Lucernaire,53 rue Notre-Dame des Champs,75006,Paris
Le Brigadier,12 rue Blanche,75009,Paris
L'âge d'or,26 rue du Docteur Magnan,75013,Paris
Bagels & Coffee Corner,Place de Clichy,75017,Paris
Café Victor,10 boulevard Victor,75015,Paris
L'empreinte,"54, avenue Daumesnil",75012,Paris
L'horizon,"93, rue de la Roquette",75011,Paris
Au pays de Vannes,34 bis rue de Wattignies,75012,Paris
Café Varenne,36 rue de Varenne,75007,Paris
l'Eléphant du nil,125 Rue Saint-Antoine,75004,Paris
Le Comptoir,354 bis rue Vaugirard,75015,Paris
Le Parc Vaugirard,358 rue de Vaugirard,75015,Paris
le Zango,58 rue Daguerre,75014,Paris
Melting Pot,3 rue de Lagny,75020,Paris
Pari's Café,174 avenue de Clichy,75017,Paris
